Máscara,Tipo,Descrição,Saldo anterior,Tipo Saldo,Débito,Crédito,Saldo atual,Tipo Saldo,Entidade,ID_Entidade
1.1.3.8.1.08.00.01.00.000001,Analitica,SALÁRIO-FAMÍLIA,"358,92",D,"2.884,86","2.884,86","358,92",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,2-Destinação de Recursos - 15001002,"358,92",D,"1.972,87","1.972,87","358,92",D,,
,,2-Destinação de Recursos - 16007000,0,D,"165,44","165,44",0,D,,
,,2-Destinação de Recursos - 17557000,0,D,"746,55","746,55",0,D,,
1.1.3.8.1.09,Sintética,CRÉDITOS A RECEBER POR REEMBOLSO DE SALÁRIO MATERNIDADE PAGO,"4.489,82",D,"62.954,97","62.954,97","4.489,82",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.3.8.1.09.00.01,Sintética,CRÉDITOS A RECEBER POR REEMBOLSO DE SALÁRIO MATERNIDADE PAGO,"4.489,82",D,"62.954,97","62.954,97","4.489,82",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.3.8.1.09.00.01.00.000001,Analitica,SALÁRIO-MATERNIDADE,"4.489,82",D,"62.954,97","62.954,97","4.489,82",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,2-Destinação de Recursos - 15001002,"4.489,82",D,"13.576,08","13.576,08","4.489,82",D,,
,,2-Destinação de Recursos - 16007000,0,D,"19.221,98","19.221,98",0,D,,
,,2-Destinação de Recursos - 17557000,0,D,"30.156,91","30.156,91",0,D,,
2,Sintética,PASSIVO E PATRIMÔNIO LIQUIDO,"663.246,93",C,"11.549.335,57","11.488.488,60","602.399,96",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
2.1,Sintética,PASSIVO CIRCULANTE,"663.246,93",C,"11.549.335,57","11.488.488,60","602.399,96",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
